Instance_Index,True_Label,Predicted_Label,Explanation
28,1,1,"[('Eye <= 0.00', -0.06517479287249141), ('0.00 < Set <= 1.00', 0.054563155127896494), ('0.56 < ExpCDR <= 0.65', 0.05211265202109658)]"
29,0,0,"[('ExpCDR <= 0.49', -0.34597347876332274), ('0.00 < Eye <= 1.00', 0.04921562637104884), ('Set <= 0.00', -0.023161032920844406)]"
30,0,0,"[('ExpCDR <= 0.49', -0.33146864657120584), ('Eye <= 0.00', -0.052141829604607344), ('Set <= 0.00', -0.029644168000338842)]"
31,0,0,"[('0.56 < ExpCDR <= 0.65', 0.05855638596396167), ('0.00 < Eye <= 1.00', 0.05432139420888126), ('Set <= 0.00', -0.024457654831831658)]"
32,0,1,"[('0.49 < ExpCDR <= 0.56', -0.14999674798540216), ('0.00 < Eye <= 1.00', 0.06630811932852919), ('Set <= 0.00', -0.03906060036878757)]"
33,1,0,"[('Eye <= 0.00', -0.06292364587879934), ('0.56 < ExpCDR <= 0.65', 0.05721866887605836), ('0.00 < Set <= 1.00', 0.03364189174696343)]"
34,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15540681322521552), ('Eye <= 0.00', -0.05896343761749062), ('Set <= 0.00', -0.015783511036464453)]"
35,0,0,"[('ExpCDR <= 0.49', -0.3458615729723198), ('0.00 < Eye <= 1.00', 0.055016691811105224), ('Set <= 0.00', -0.030544290117066525)]"
36,0,0,"[('0.49 < ExpCDR <= 0.56', -0.17856683207384916), ('0.00 < Eye <= 1.00', 0.06605685872989726), ('0.00 < Set <= 1.00', 0.040550043926235756)]"
37,1,1,"[('ExpCDR > 0.65', 0.4399513380464376), ('0.00 < Eye <= 1.00', 0.07141396555815226), ('0.00 < Set <= 1.00', 0.03159023359038379)]"
38,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15525476479940273), ('Eye <= 0.00', -0.06425075530833685), ('0.00 < Set <= 1.00', 0.017508169817765117)]"
39,1,1,"[('ExpCDR > 0.65', 0.43019128876307655), ('Eye <= 0.00', -0.05861906633780954), ('Set <= 0.00', -0.036959173419827525)]"
40,0,1,"[('ExpCDR > 0.65', 0.435337237708531), ('0.00 < Eye <= 1.00', 0.061528329401656416), ('0.00 < Set <= 1.00', 0.04529714429302847)]"
41,0,0,"[('ExpCDR > 0.65', 0.4444391708073229), ('0.00 < Eye <= 1.00', 0.059370313661766136), ('Set <= 0.00', -0.0402681581375552)]"
42,1,0,"[('ExpCDR > 0.65', 0.4387103027291539), ('0.00 < Eye <= 1.00', 0.05150600925855828), ('Set <= 0.00', -0.02890267026507549)]"
43,0,0,"[('ExpCDR <= 0.49', -0.32533888798974514), ('Eye <= 0.00', -0.048291078721306786), ('Set <= 0.00', -0.0274030619825016)]"
44,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15324936285434443), ('0.00 < Eye <= 1.00', 0.04542508089493165), ('0.00 < Set <= 1.00', 0.030250127621385563)]"
45,0,1,"[('ExpCDR > 0.65', 0.43009486741552333), ('0.00 < Eye <= 1.00', 0.05938533441758149), ('Set <= 0.00', -0.0528236171147348)]"
46,0,1,"[('ExpCDR > 0.65', 0.43006150127289267), ('Eye <= 0.00', -0.07254810498639352), ('0.00 < Set <= 1.00', 0.03950740274163147)]"
47,0,0,"[('ExpCDR <= 0.49', -0.339084509024897), ('Eye <= 0.00', -0.06223327105908878), ('0.00 < Set <= 1.00', 0.0217285762238802)]"
48,1,0,"[('0.49 < ExpCDR <= 0.56', -0.1374521482874203), ('0.00 < Eye <= 1.00', 0.060019243967533914), ('Set <= 0.00', -0.03453171751313191)]"
49,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1493581644346329), ('Eye <= 0.00', -0.056841406477396085), ('Set <= 0.00', -0.023113912976701238)]"
50,1,1,"[('ExpCDR > 0.65', 0.4293643007468108), ('Eye <= 0.00', -0.04987935222376052), ('Set <= 0.00', -0.03142143697375296)]"
51,0,0,"[('ExpCDR <= 0.49', -0.3479769278350977), ('Set <= 0.00', -0.04601325350201564), ('0.00 < Eye <= 1.00', 0.04345463581024352)]"
52,0,0,"[('ExpCDR <= 0.49', -0.35658255398454036), ('0.00 < Eye <= 1.00', 0.06644129878952354), ('0.00 < Set <= 1.00', 0.032471648205387664)]"
53,0,1,"[('ExpCDR > 0.65', 0.4289889348128119), ('Eye <= 0.00', -0.0709011721183887), ('0.00 < Set <= 1.00', 0.037634397061526194)]"
54,0,1,"[('ExpCDR > 0.65', 0.44493730462689757), ('0.00 < Eye <= 1.00', 0.05983688706374483), ('0.00 < Set <= 1.00', 0.03929014826921697)]"
55,0,0,"[('0.49 < ExpCDR <= 0.56', -0.16337509736652667), ('0.00 < Eye <= 1.00', 0.057851784389611804), ('0.00 < Set <= 1.00', 0.03435772110421199)]"
56,0,0,"[('0.56 < ExpCDR <= 0.65', 0.05753500826847534), ('0.00 < Eye <= 1.00', 0.053229429493452184), ('Set <= 0.00', -0.03943132756027918)]"
57,1,1,"[('ExpCDR > 0.65', 0.43474235218308804), ('Eye <= 0.00', -0.05929779618969452), ('Set <= 0.00', -0.02854670711896498)]"
58,0,0,"[('ExpCDR > 0.65', 0.4393665478342171), ('Eye <= 0.00', -0.08097151209824666), ('0.00 < Set <= 1.00', 0.034393428622595)]"
59,0,0,"[('0.00 < Eye <= 1.00', 0.07108924054983418), ('0.56 < ExpCDR <= 0.65', 0.061668115999108444), ('Set <= 0.00', -0.04862839177247811)]"
60,0,0,"[('0.00 < Eye <= 1.00', 0.07011936559301811), ('0.56 < ExpCDR <= 0.65', 0.05712281830770174), ('Set <= 0.00', -0.04548139454706953)]"
61,0,0,"[('0.00 < Eye <= 1.00', 0.07371107986352236), ('0.56 < ExpCDR <= 0.65', 0.06054078098182681), ('0.00 < Set <= 1.00', 0.05596964228438105)]"
62,0,0,"[('0.00 < Eye <= 1.00', 0.06619677353029578), ('0.56 < ExpCDR <= 0.65', 0.057591089144434685), ('Set <= 0.00', -0.03715079104298894)]"
63,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15493058346226335), ('Eye <= 0.00', -0.04127364424588493), ('0.00 < Set <= 1.00', 0.034694753956124834)]"
64,1,1,"[('ExpCDR > 0.65', 0.44580599420310485), ('Eye <= 0.00', -0.06808245902320208), ('0.00 < Set <= 1.00', 0.023220373937666253)]"
65,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15476227296517645), ('0.00 < Eye <= 1.00', 0.05145539392938477), ('Set <= 0.00', -0.02942504316980023)]"
66,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15662046366481178), ('Eye <= 0.00', -0.06485639119064074), ('0.00 < Set <= 1.00', 0.023381692170061)]"
67,0,0,"[('ExpCDR > 0.65', 0.4596472138143351), ('Eye <= 0.00', -0.07229177404772358), ('0.00 < Set <= 1.00', 0.036709083792344034)]"
68,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1765080268607948), ('0.00 < Eye <= 1.00', 0.06133028401944703), ('0.00 < Set <= 1.00', 0.030333215416272895)]"
69,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1532112451852292), ('Eye <= 0.00', -0.06074334032450479), ('Set <= 0.00', -0.02352672595047201)]"
70,0,1,"[('Eye <= 0.00', -0.07200030808895652), ('0.56 < ExpCDR <= 0.65', 0.05000208645016567), ('0.00 < Set <= 1.00', 0.02871536338336834)]"
71,0,0,"[('Eye <= 0.00', -0.08096272047496766), ('0.56 < ExpCDR <= 0.65', 0.06524720870125254), ('0.00 < Set <= 1.00', 0.03770826507350228)]"
72,1,1,"[('ExpCDR > 0.65', 0.44405175400417723), ('Eye <= 0.00', -0.06655822562739626), ('0.00 < Set <= 1.00', 0.02979475178662872)]"
73,0,0,"[('ExpCDR <= 0.49', -0.3415370321664637), ('0.00 < Eye <= 1.00', 0.055522226046703246), ('Set <= 0.00', -0.017361422606912313)]"
74,0,0,"[('ExpCDR <= 0.49', -0.3438255792922309), ('0.00 < Eye <= 1.00', 0.047606140726962835), ('0.00 < Set <= 1.00', 0.023869587623262353)]"
75,0,0,"[('Set <= 0.00', -0.06426885115946254), ('0.00 < Eye <= 1.00', 0.06108373998090398), ('0.56 < ExpCDR <= 0.65', 0.05421273955690762)]"
76,0,0,"[('ExpCDR <= 0.49', -0.3337415401188616), ('Eye <= 0.00', -0.0445042566466347), ('Set <= 0.00', -0.01981375718728743)]"
77,0,1,"[('Eye <= 0.00', -0.06772594750088058), ('0.56 < ExpCDR <= 0.65', 0.038370262703430795), ('0.00 < Set <= 1.00', 0.03221087003424786)]"
78,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1517401169762219), ('0.00 < Eye <= 1.00', 0.04712778998715372), ('Set <= 0.00', -0.028546035057113804)]"
79,0,0,"[('ExpCDR > 0.65', 0.44930073002016524), ('Eye <= 0.00', -0.06966524932357024), ('0.00 < Set <= 1.00', 0.025919345272231893)]"
80,0,1,"[('0.56 < ExpCDR <= 0.65', 0.07725566038400165), ('Eye <= 0.00', -0.05526308998993977), ('0.00 < Set <= 1.00', 0.02904922634176508)]"
81,1,0,"[('ExpCDR > 0.65', 0.43810891109479866), ('0.00 < Eye <= 1.00', 0.08072057760565604), ('0.00 < Set <= 1.00', 0.042879679122987804)]"
82,0,0,"[('0.49 < ExpCDR <= 0.56', -0.14455809762998698), ('0.00 < Eye <= 1.00', 0.055754946067647276), ('Set <= 0.00', -0.025724355880778316)]"
83,1,1,"[('ExpCDR > 0.65', 0.45271190678778356), ('0.00 < Eye <= 1.00', 0.0694744323076226), ('0.00 < Set <= 1.00', 0.030678015615472065)]"
84,0,1,"[('ExpCDR > 0.65', 0.4647092342699542), ('0.00 < Eye <= 1.00', 0.06599886562803844), ('0.00 < Set <= 1.00', 0.040965680373909415)]"
85,0,0,"[('ExpCDR <= 0.49', -0.3438816154206879), ('0.00 < Eye <= 1.00', 0.05921125550150448), ('Set <= 0.00', -0.03125585055228112)]"
86,1,0,"[('Eye <= 0.00', -0.061283931244677216), ('0.56 < ExpCDR <= 0.65', 0.04618662975140039), ('Set <= 0.00', -0.03654773187746946)]"
87,0,0,"[('0.49 < ExpCDR <= 0.56', -0.16558985705228993), ('Eye <= 0.00', -0.054722948000408334), ('0.00 < Set <= 1.00', 0.021863360320283153)]"
88,0,0,"[('0.49 < ExpCDR <= 0.56', -0.14020117337603605), ('Eye <= 0.00', -0.052352093654437236), ('Set <= 0.00', -0.02637634976779966)]"
89,1,0,"[('ExpCDR > 0.65', 0.44636653176374824), ('0.00 < Eye <= 1.00', 0.06649204099099824), ('Set <= 0.00', -0.037791446249638094)]"
90,1,0,"[('0.56 < ExpCDR <= 0.65', 0.06261248958025203), ('Eye <= 0.00', -0.058367373883567546), ('0.00 < Set <= 1.00', 0.031070288795324006)]"
91,0,0,"[('ExpCDR <= 0.49', -0.3307553949243095), ('Eye <= 0.00', -0.0518276113966765), ('Set <= 0.00', -0.031637333011245154)]"
92,0,0,"[('0.56 < ExpCDR <= 0.65', 0.05031868951879346), ('Eye <= 0.00', -0.049622564495308136), ('0.00 < Set <= 1.00', 0.04339282107672907)]"
93,0,0,"[('ExpCDR <= 0.49', -0.3417648283217167), ('0.00 < Eye <= 1.00', 0.04843312112032309), ('Set <= 0.00', -0.031379036406081105)]"
94,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1650146126465895), ('Eye <= 0.00', -0.06850718687338757), ('0.00 < Set <= 1.00', 0.038184892482654234)]"
95,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15178568957906957), ('Eye <= 0.00', -0.06781714423977821), ('Set <= 0.00', -0.02198343918752825)]"
96,1,0,"[('ExpCDR > 0.65', 0.4197329750317412), ('Eye <= 0.00', -0.060782895434273364), ('Set <= 0.00', -0.03439366573326695)]"
97,1,1,"[('ExpCDR > 0.65', 0.43377457736890124), ('Eye <= 0.00', -0.06194470168869439), ('Set <= 0.00', -0.04847668525073574)]"
98,1,1,"[('ExpCDR > 0.65', 0.44972681283447546), ('0.00 < Eye <= 1.00', 0.06459771136990973), ('0.00 < Set <= 1.00', 0.03653924268530929)]"
99,0,0,"[('Eye <= 0.00', -0.05738170564947969), ('0.56 < ExpCDR <= 0.65', 0.03311598010484203), ('Set <= 0.00', -0.030745846374222837)]"
100,0,0,"[('ExpCDR <= 0.49', -0.3434527025619197), ('0.00 < Eye <= 1.00', 0.04669541337636022), ('0.00 < Set <= 1.00', 0.0418437558305106)]"
101,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1678387714643269), ('0.00 < Eye <= 1.00', 0.05428228893775096), ('0.00 < Set <= 1.00', 0.023987986912823778)]"
102,0,0,"[('0.49 < ExpCDR <= 0.56', -0.16396672215712163), ('Eye <= 0.00', -0.042543424062068486), ('0.00 < Set <= 1.00', 0.02839026931595534)]"
103,0,1,"[('0.56 < ExpCDR <= 0.65', 0.07123888473511435), ('Eye <= 0.00', -0.058103214010629685), ('0.00 < Set <= 1.00', 0.03931100682244514)]"
104,0,0,"[('Eye <= 0.00', -0.06691761092560426), ('Set <= 0.00', -0.04193953126793432), ('0.56 < ExpCDR <= 0.65', 0.024239463170062363)]"
105,0,1,"[('ExpCDR > 0.65', 0.44525677864192137), ('0.00 < Eye <= 1.00', 0.06804783108824684), ('0.00 < Set <= 1.00', 0.035905517312710564)]"
106,1,0,"[('0.00 < Eye <= 1.00', 0.05651691565851803), ('0.56 < ExpCDR <= 0.65', 0.04926626877082547), ('Set <= 0.00', -0.037911978346785724)]"
107,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1472660646019219), ('0.00 < Eye <= 1.00', 0.05334624748430784), ('Set <= 0.00', -0.028207948927968792)]"
108,0,0,"[('Eye <= 0.00', -0.05763849501277277), ('0.56 < ExpCDR <= 0.65', 0.04925402519891759), ('Set <= 0.00', -0.029568332623932093)]"
109,1,1,"[('ExpCDR > 0.65', 0.4569395715601661), ('0.00 < Eye <= 1.00', 0.05935462447849701), ('0.00 < Set <= 1.00', 0.039849877110454054)]"
110,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15147271716357738), ('0.00 < Eye <= 1.00', 0.06887015835236442), ('Set <= 0.00', -0.02023940525031723)]"
111,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15502202505142432), ('Eye <= 0.00', -0.053845145891379044), ('0.00 < Set <= 1.00', 0.016678561860068726)]"
112,0,0,"[('0.49 < ExpCDR <= 0.56', -0.17368885246301954), ('0.00 < Eye <= 1.00', 0.0515256788275095), ('0.00 < Set <= 1.00', 0.027406791466236678)]"
113,0,0,"[('Eye <= 0.00', -0.06031594588527134), ('0.56 < ExpCDR <= 0.65', 0.04918704848544101), ('Set <= 0.00', -0.03330051423865237)]"
114,0,1,"[('Eye <= 0.00', -0.0765277559462295), ('0.56 < ExpCDR <= 0.65', 0.06114526171338809), ('0.00 < Set <= 1.00', 0.049811027573981155)]"
115,1,0,"[('0.56 < ExpCDR <= 0.65', 0.06439976057301873), ('0.00 < Eye <= 1.00', 0.06393876658742267), ('Set <= 0.00', -0.04079872613182932)]"
116,0,0,"[('0.49 < ExpCDR <= 0.56', -0.14302615950614397), ('0.00 < Eye <= 1.00', 0.05576821079295911), ('Set <= 0.00', -0.04174990137028081)]"
117,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1463008481389313), ('0.00 < Eye <= 1.00', 0.041039298628915394), ('Set <= 0.00', -0.02142302814851044)]"
118,1,0,"[('ExpCDR > 0.65', 0.4416214524222688), ('Eye <= 0.00', -0.07625760605819064), ('0.00 < Set <= 1.00', 0.0238894965382398)]"
119,1,0,"[('ExpCDR > 0.65', 0.45331588951847784), ('Eye <= 0.00', -0.06905892082244576), ('0.00 < Set <= 1.00', 0.03348546731198563)]"
120,0,0,"[('ExpCDR <= 0.49', -0.35265908043657956), ('0.00 < Eye <= 1.00', 0.06603663110930753), ('0.00 < Set <= 1.00', 0.0389704406193234)]"
121,0,0,"[('ExpCDR <= 0.49', -0.3358153288965615), ('0.00 < Set <= 1.00', 0.03950184833703092), ('Eye <= 0.00', -0.03724420576680263)]"
122,0,0,"[('ExpCDR > 0.65', 0.42892174691096974), ('Eye <= 0.00', -0.05719213396617569), ('0.00 < Set <= 1.00', 0.020331441988684206)]"
123,0,0,"[('ExpCDR <= 0.49', -0.34431407025861877), ('Eye <= 0.00', -0.05244927196392002), ('Set <= 0.00', -0.025971080579951518)]"
124,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1496772665237522), ('0.00 < Eye <= 1.00', 0.0462800574371294), ('Set <= 0.00', -0.040297416015338546)]"
125,1,1,"[('ExpCDR > 0.65', 0.43076523759723245), ('0.00 < Eye <= 1.00', 0.06399087094251103), ('Set <= 0.00', -0.04147682177388228)]"
126,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15315663349181247), ('0.00 < Eye <= 1.00', 0.049986875709871044), ('0.00 < Set <= 1.00', 0.011849267305125949)]"
127,0,0,"[('0.49 < ExpCDR <= 0.56', -0.15028307603068575), ('0.00 < Eye <= 1.00', 0.05553568115770462), ('Set <= 0.00', -0.03745514007612425)]"
128,1,0,"[('0.00 < Eye <= 1.00', 0.07503924849604897), ('0.56 < ExpCDR <= 0.65', 0.07412203306557216), ('0.00 < Set <= 1.00', 0.0325996262354508)]"
129,0,0,"[('ExpCDR > 0.65', 0.4361428547791144), ('Eye <= 0.00', -0.05366651906093664), ('Set <= 0.00', -0.023538891065509628)]"
